"CountryCode","WHO_region","U5_mortality","Antibiotic","fu_cat","diarrhea_imp","LogPopDens_2020_imp","logGDP_percap_2021_imp","poverty_imp","Water_atleastbasic_imp","Sanitation_atleastbasic_imp","avg_opv"
"AFG","EMR",61.557988034005,14.2,2,40.72,4.02713581252865,6.24778519595767,18.2,28.4,25.8,56
"ARG","AMR",17.1,10.9,1,17.95,2.64333388638252,8.3536855379979,5.93,98,49,93.66666667
"ARM","EUR",15.9799983822002,13.9,1,22.15,4.68767140749983,8.25144404326105,1.7,83.2,12.7,79
"AUS","WPR",4.86673366560793,22.74,1,7.9216,1.05012207950768,10.8146620186146,0.398,98.76,79.162,0
"BEL","EUR",4.8,23.8,1,20.98,5.86354594469332,10.5945876392284,0.17,99.5,88.27,0
"BFA","AFR",100.7,10.5,2,41.9,4.19268046294296,6.4820364418467,43.8,78,52,91
"BGD","SEAR",48.2666666666667,12.1666666666667,1,16.13,7.03758106431672,6.68377387676887,19.4,47.9,33.5,95.33333333
"BOL","AMR",39.2282666666667,16.2666666666667,1,46.05,2.24777685649905,7.77886484776715,7,81.7,29.3333333333333,89
"BRA","AMR",24.3375,6.95,1,17.94,3.10861443061066,8.72965590512218,8.3,79.25,29.2,99
"BWA","AFR",38.8,8.7,2,40.45,1.30833281965018,8.95940158741805,14.5,83.07,72,96
"CAN","AMR",5.4,18.5,1,16.7,1.3609765531356,10.8714708990589,0.5,98.7,82.5,0
"CHL","AMR",9.4,8.1,1,15.09,3.06479180948549,8.60951709856175,3.35,93.65,50.15,95
"CHN","WPR",13.1,8.3,1,12.27,4.96772779308498,8.78815881940674,4.65,92,55.8,99
"COL","AMR",20.875,6.625,1,28.28,3.65893557774086,8.32656523177871,25.93,70.35,14.58,91.25
"CRI","AMR",11.8,4.3,1,17.26,4.40182926197006,8.32593582896435,4.6,88.4,36,88
"CZE","EUR",4.3,16.7,1,19.05,4.87672287650999,9.50529841027364,0,96.8,85.2,96
"DEU","EUR",4.63333333333333,17.1,1,19.87,5.46340798641363,10.4752464563611,0,99.8,96,0
"DMA","AMR",37.1333333333333,6.06666666666667,1,45.84,5.22450934940331,7.98826130072089,6.97,76.8,54.5,0
"ESP","EUR",4.09707477211037,23.975,1,19.015,4.51770416020682,10.3050012057219,0.75,99.15,92.75,0
"FIN","EUR",3.8,20.25,1,19.44,7.96093426291841,10.4782199354201,0.02,95.05,99.05,0
"FRA","EUR",4.45,26.6,1,16.17,4.75789127300576,10.5978115403867,0,97.1,89.1,0
"GBR","EUR",4.54053639413426,21.1,1,17.72,5.59136004524191,10.7672210336716,0.25,99.9,98,0
"GHA","AFR",66.2,6,1,46.73,4.71492104994721,7.37400185935016,13.95,35.75,27,93
"GTM","AMR",36.6,4.83333333333333,1,36.35,4.87190948141995,7.95892649305011,9.53,51.63,59.3,89
"HGK","WPR",14.6,7.2,1,12.72,8.77632917366049,10.157699445775,57,87.3,92.1,0
"HND","AMR",30.6333333333333,4.5,1,42.02,4.17592454921452,7.11316653837611,27.77,18.7,78.6,94.66666667
"IND","SEAR",52,11.5,1,19.86,6.05373487283411,7.27510306497717,22.5,85.5,71.27,79
"ISR","EUR",4.42289177360374,18,1,18.313,5.87211778947542,10.4046024627277,0.4,99.7,88.4,0
"ITA","EUR",4.65,24.75,1,17.87,5.27811465923052,10.3007322991974,0.7,88.65,96,0
"JPN","WPR",3.2,14.8,1,1,5.85964597248713,10.5695024594513,5.47,98.1,98.63,98
"KEN","AFR",55.85,15.65,1,32.36,4.35734964696144,7.05298053113492,39.5,59,29,88
"KOR","WPR",3.84698127893088,22.4,2,2.043,6.24241779906146,10.1451293717046,0.2,98.1,94.8,91
"MDA","EUR",16.2,13.1,1,15.12,4.60015764416455,8.10832229017324,0.1,72.6,78.3,92
"MDG","AFR",65.8351674066316,7.6,1,38.257,3.7864597824528,6.23938654443818,70,19.4,10.6,65
"MEX","AMR",24.1698272467862,9.13333333333333,1,16.3183333333333,9.09187022531309,8.9496424108657,18,39.97,21.92,97.66666667
"MLI","AFR",141.77749510575,4.2,1,41.3066666666667,2.42774823594805,6.5253003939066,48.9,47.4666666666667,8.53333333333333,74
